defect4[][0]	defect4[][1]	defect4[][2]
65025	65025	65025
65025	625	625
65025	0	0
65025	0	0
64516	0	0
64516	0	0
64516	0	0
64516	0	0
64516	0	0
64009	0	0
64009	0	0
64009	0	0
64009	0	0
64009	0	0
64009	0	0
64009	0	0
63504	0	0
63504	0	0
63504	0	0
63504	0	0
63504	0	0
63504	0	0
63504	0	0
63504	1	0
63504	4	0
63504	9	0
63001	16	0
63001	25	0
63001	64	0
63001	121	0
63001	196	0
63001	324	0
63001	529	0
63001	841	0
63001	1225	0
63001	1681	0
62500	2304	0
62500	2916	0
62500	3721	0
62500	4624	0
62500	5625	0
62500	6561	0
62500	7744	0
62500	9025	0
62500	10404	0
62500	11881	0
62500	13456	0
62500	14884	0
62001	16641	0
62001	18496	0
62001	20449	0
62001	22201	0
62001	24336	0
62001	26569	0
62001	28900	0
62001	31329	0
62001	33856	0
62001	36100	0
62001	38809	0
62001	41209	0
62001	44100	0
62001	46656	0
61504	49284	0
61504	51529	0
61504	53824	0
61504	55696	0
61504	58081	0
61504	59536	0
61504	60516	0
61504	61009	0
61504	61504	0
61009	62001	0
61009	62500	0
61009	62500	0
61009	62500	0
61009	62500	0
61009	62500	0
61009	62500	0
61009	62500	0
61009	62500	0
60516	63001	0
60516	63001	0
60516	63001	0
60516	63001	0
60516	63001	0
60516	63001	0
60025	63001	0
60025	63001	0
59536	63001	0
58564	63001	0
57121	63001	0
55696	63001	0
54756	62500	0
53361	62500	0
51984	62500	0
50625	62500	0
49284	62500	0
47961	62500	0
46225	62500	0
45369	62500	0
43681	62500	0
42436	62500	0
41209	62500	0
40000	62500	0
38809	62500	0
37636	62500	0
36481	62500	0
35344	62500	0
34596	62500	0
33124	62500	0
32041	62500	0
30976	62001	0
29929	62001	0
28900	61504	0
27889	61009	0
26896	60516	0
25921	59536	0
24964	58564	0
24336	58081	0
23104	56644	0
22201	55225	0
21609	54289	0
20736	52900	0
19881	51529	0
18769	50176	0
17956	48841	4
17161	47524	4
16384	46225	9
15876	45369	9
14884	43681	25
14161	42436	49
13456	41616	81
12544	40000	144
11881	38809	225
11236	37636	324
10609	36864	441
10000	35344	625
9409	34225	784
8836	33489	961
8281	32400	1225
7744	31329	1444
7225	30276	1681
6724	29241	2025
6241	28224	2304
5929	27225	2601
5476	26244	2916
4900	25281	3249
4489	24336	3721
4225	23409	3969
3721	22500	4489
3364	21609	4900
3136	20736	5329
2704	19881	5929
2401	19044	6400
2209	18225	6889
1936	17424	7396
1681	16641	8100
1444	16129	8464
1225	15376	9216
1024	14400	9801
841	13689	10404
676	13225	11025
529	12544	11664
400	11664	12544
324	11236	13225
225	10609	13924
144	10000	14884
121	9409	15376
64	8836	16384
36	8281	17161
16	7744	17689
9	7225	18769
4	6724	19600
1	6241	20164
0	5929	20736
0	5476	21609
0	5041	22201
0	4761	22201
0	4489	22801
0	4225	23104
0	3969	23409
0	3721	23409
0	3600	23409
0	3481	23409
0	3364	23409
0	3249	23409
0	3136	23409
0	3136	23409
0	3025	23409
0	2916	23409
0	2809	23409
0	2704	23409
0	2601	23409
0	2500	23409
0	2401	23409
0	2304	23409
0	2304	23409
0	2304	23409
0	2209	23409
0	2116	23104
0	2025	23104
0	1936	23104
0	1849	23104
0	1764	23104
0	1681	23104
0	1600	22801
0	1600	22801
0	1600	22801
0	1521	22500
0	1444	22201
0	1369	21609
0	1296	21316
0	1225	20449
0	1156	19881
0	1089	19044
0	1024	18225
0	1024	17689
0	961	16641
0	961	15625
0	900	14884
0	841	14161
0	784	13456
0	729	12544
0	676	11664
0	625	11025
0	576	10201
0	576	9801
0	529	9025
0	529	8281
0	484	7744
0	441	7056
0	400	6561
0	361	6084
0	324	5625
0	289	5041
0	256	4489
0	256	4225
0	225	3721
0	225	3364
0	196	2916
0	169	2500
0	144	2209
0	121	1936
0	100	1681
0	81	1369
0	64	1089
0	64	961
0	49	729
0	49	576
0	36	441
0	25	324
0	16	256
0	16	196
0	9	144
0	4	81
0	0	0
